peopleid;first_name;surname;born;died;gender
73;Mark;Addy;1964;;M
74;Wesley;Addy;1913;1996;M
75;Maren;Ade;1976;;F
76;Femi;Adebayo;1972;;M
77;Damilola;Adegbite;1985;;F
78;Odunlade;Adekola;1978;;M
79;Yewande;Adekoya;1983;;F
80;Hany;Adel;1976;;M
81;Paul;Adelstein;1969;;M
82;Kemi;Adetiba;1990;;F
83;Prem;Adib;1917;1959;M
84;Isabelle;Adjani;1955;;F
85;Martín;Adjemián;1932;2006;M
86;Scott;Adkins;1976;;M
87;Trace;Adkins;1962;;M
88;Lou;Adler;1933;;M
89;Luther;Adler;1903;1984;M
90;Edvin;Adolphson;1893;1979;M
91;Kristina;Adolphson;1937;;F
92;James;Adomian;1980;;M
93;Mario;Adorf;1930;;M
94;Renée;Adorée;1898;1933;F
95;Iris;Adrian;1912;1994;F
96;Scott;Adsit;1965;;M
97;Nikhil;Advani;1971;;M
98;Ben;Affleck;1972;;M
99;Casey;Affleck;1975;;M
100;Neil;Affleck;1953;;M
101;Kunle;Afolayan;1974;;M
102;Koula;Agagiotou;1915;2006;F
103;John;Agar;1921;2002;M
104;Mohan;Agashe;1947;;M
105;Paolo;Agazzi;1949;;M
106;Arthur;Agee;1972;;M
107;Kajal;Aggarwal;1985;;F
108;Swati;Aggarwal;1988;;F
109;Shohreh;Aghdashloo;1952;;F
110;Rati;Agnihotri;1960;;F
111;Alejandro;Agresti;1961;;M
112;Francis;Agu;1965;2007;M
113;Antonio;Aguilar;1919;2007;M
114;Christina;Aguilera;1980;;F
115;Jenny;Agutter;1952;;F
116;Salim;Ahamed;1970;;M
117;Brian;Aherne;1902;1986;M
118;Gajendra;Ahire;1969;;M
119;Börje;Ahlstedt;1939;;M
120;Bulbul;Ahmed;1940;2010;M
121;Hamdy;Ahmed;1933;2016;M
122;Riz;Ahmed;1982;;M
123;Jae-mo;Ahn;1979;;M
124;Philip;Ahn;1905;1978;M
125;Se-ha;Ahn;1986;;M
126;Seo-hyun;Ahn;2004;;F
127;Sung-ki;Ahn;1952;;M
128;Eero;Aho;1968;;M
129;Liya;Ai;1965;;F
130;Saki;Aibu;1985;;F
131;Charles;Aidman;1925;1993;M
132;Danny;Aiello;1933;;M
133;Liam;Aiken;1990;;M
134;Toyin;Aimakhu;1984;;F
135;Raymond;Aimos;1889;1944;M
136;Anouk;Aimée;1932;;M
137;Henry;Ainley;1879;1945;M
138;;Aishwarya;1971;;F
139;Adriana;Aizemberg;1938;;F
140;Alexandre;Aja;1978;;M
141;Franklyn;Ajaye;1949;;M
142;Dakore;Akande;1978;;F
143;Niji;Akanni;1962;;F
144;Aravind;Akash;1976;;M
145;Miyoko;Akaza;1944;;F
146;Demet;Akbag;1959;;F
147;Mania;Akbari;1974;;F
148;Hümeyra;Akbay;1947;;F
149;Deniz;Akdeniz;1990;;M
150;Chantal;Akerman;1950;2015;F
151;Marc;Akerstream;1954;1998;M
152;Adeel;Akhtar;1980;;M
153;Begum;Akhtar;1914;1974;F
154;Farhan;Akhtar;1974;;M
155;Lewis;Akin;1951;;M
156;Funke;Akindele;1977;;F
157;Kemi;Akindoju;1986;;F
158;Adewale;Akinnuoye-Agbaje;1967;;M
159;Claude;Akins;1926;1994;M
160;Oksana;Akinshina;1987;;F
161;Bimbo;Akintola;1970;;F
162;Rina;Akiyama;1985;;F
163;Achmed;Akkabi;1983;;M
164;Moustapha;Akkad;1930;2005;M
165;Alibaba;Akpobome;1965;;M
166;Saadet;Aksoy;1983;;F
167;Donny;Alamsyah;1978;;M
168;Bernard;Alane;1948;;M
169;Carlos;Alazraqui;1962;;M
170;Jessica;Alba;1981;;F
171;Antonio;Albanese;1964;;M
172;Hans;Albers;1891;1960;M
173;Eddie;Albert;1906;2005;M
174;Edward;Albert;1951;2006;M
175;Maryse;Alberti;1954;;F
176;Giampiero;Albertini;1927;1991;M
177;Jack;Albertson;1907;1981;M
178;Jean-Gabriel;Albicocco;1936;2001;M
179;Jens;Albinus;1965;;M
180;Hardie;Albright;1903;1975;M
181;Wally;Albright;1925;1999;M
182;Mircea;Albulescu;1934;2016;M
183;Félix Enríquez;Alcalá;1951;;M
184;Ogie;Alcasid;1967;;M
185;Pierre;Alcover;1893;1957;M
186;Damián;Alcázar;1953;;M
187;Alan;Alda;1936;;M
188;Rutanya;Alda;1942;;F
189;Norman;Alden;1924;2012;M
190;Mari;Aldon;1925;2004;F
191;Robert;Aldrich;1918;1983;M
192;Kitty;Aldridge;1962;;F
193;Norma;Aleandro;1936;;F
194;Sigrid;Alegría;1974;;F
195;Grigori;Aleksandrov;1903;1983;M
196;Archie;Alemania;1978;;M
197;Vera;Alentova;1942;;F
198;Aki;Aleong;1934;;M
199;André;Alerme;1877;1960;M
200;Goffredo;Alessandrini;1904;1978;M
201;Georg;Alexander;1888;1945;M
202;Jaimie;Alexander;1984;;F
203;Jane;Alexander;1939;;F
204;Jason;Alexander;1959;;M
205;John;Alexander;1897;1982;M
206;Lexi;Alexander;1974;;F
207;Ross;Alexander;1907;1937;M
208;Sarah;Alexander;1971;;F
209;Terry;Alexander;1947;;M
210;Phillip;Alford;1948;;M
211;Daniel;Alfredson;1959;;M
212;Tomas;Alfredson;1965;;M
213;James;Algar;1912;1998;M
214;Imtiaz;Ali;1971;;M
215;Mahershala;Ali;1974;;M
216;Nafisa;Ali;1957;;F
217;Taraneh;Alidoosti;1984;;F
218;Slobodan;Aligrudić;1934;1985;M
219;Roger;Allam;1953;;M
220;Elizabeth;Allan;1910;1990;F
221;William;Alland;1916;1997;M
222;Louise;Allbritton;1920;1979;F
223;;Allen;1983;;M
224;Adrianne;Allen;1907;1993;F
225;Aleisha;Allen;1991;;F
226;Alfie;Allen;1986;;M
227;Alfred;Allen;1886;1947;M
228;Barbara Jo;Allen;1906;1974;F
229;Chesney;Allen;1894;1982;M
230;Debbie;Allen;1950;;F
231;Elizabeth;Allen;1929;2006;F
232;Fred;Allen;1894;1956;M
233;Irwin;Allen;1916;1991;M
234;Joan;Allen;1956;;F
235;Karen;Allen;1951;;F
236;Keith;Allen;1953;;M
237;Kevin;Allen;1959;;M
238;Lewis;Allen;1905;2000;M
239;Nancy;Allen;1950;;F
240;Tim;Allen;1953;;M
241;Woody;Allen;1935;;M
242;Roger;Allers;1949;;M
243;Alexander;Allerson;1930;;M
244;Kirstie;Alley;1951;;F
245;Sara;Allgood;1880;1950;F
246;Jean-Louis;Allibert;1897;1979;M
247;Claud;Allister;1888;1970;M
248;Gregg;Allman;1947;2017;M
249;Wayne;Allwine;1947;2009;M
250;June;Allyson;1917;2006;F
251;Catherine;Allégret;1946;;F
252;Marc;Allégret;1900;1973;M
253;Yves;Allégret;1905;1987;M
254;Mario;Almada;1922;2016;M
255;Gila;Almagor;1939;;F
256;Michael;Almereyda;1960;;M
257;Pedro;Almodóvar;1949;;M
258;Greta;Almroth;1888;1981;F
259;Laz;Alonso;1974;;M
260;María Conchita;Alonso;1957;;F
261;Bea;Alonzo;1987;;F
262;Aleksandr;Alov;1923;1983;M
263;Corinne;Alphen;1954;;F
264;Tom;Alter;1950;2017;M
265;Ernesto;Alterio;1970;;M
266;Héctor;Alterio;1929;;M
267;Malena;Alterio;1974;;F
268;Bruce;Altman;1955;;M
269;Robert;Altman;1925;2006;M
270;Trini;Alvarado;1967;;F
271;Anne;Alvaro;1951;;F
272;Joe;Alwyn;1991;;M
273;William;Alwyn;1905;1985;M
274;Kirk;Alyn;1910;1999;M
275;Luis;Amadori;1902;1977;M
276;;Amala;1968;;F
277;Mathieu;Amalric;1965;;M
278;Zeenat;Aman;1951;;F
279;Betty;Amann;1905;1990;F
280;Premji;Amaren;1979;;M
281;Jeta;Amata;1974;;M
282;Rod;Amateau;1923;2003;M
283;Vincenzo;Amato;1966;;M
284;Heard;Amber;1986;;F
285;;Ambika;1962;;F
286;Lauren;Ambrose;1978;;F
287;Don;Ameche;1908;1993;M
288;;Ameeta;1940;;F
289;Gianni;Amelio;1945;;M
290;Stephen;Amell;1981;;M
291;Alejandro;Amenábar;1972;;M
292;Gerald;Ames;1880;1933;M
293;Leon;Ames;1902;1993;M
294;Mädchen;Amick;1970;;F
295;Jon;Amiel;1948;;M
296;Mervat;Amin;1946;;F
297;Hossein;Amini;1966;;M
298;Marianne;Aminoff;1916;1984;F
299;Alberto;Ammann;1978;;M
300;Emma;Amos;1967;;F
301;John;Amos;1939;;M
302;Kamal;Amrohi;1918;1993;M
303;;Amédée;1923;1985;M
304;Nai;An;1963;;F
305;Dev;Anand;1923;2011;M
306;K. V.;Anand;1966;;M
307;Nikita;Anand;1983;;F
308;Priya;Anand;1986;;F
309;Shoma;Anand;1958;;F
310;Vijay (Goldie);Anand;1936;2004;F
311;;Anandaraj;1958;;M
312;;Anandhi;1993;;F
313;Elena;Anaya;1975;;F
314;Suzan;Anbeh;1970;;F
315;Allison;Anders;1954;;F
316;Luana;Anders;1938;1996;F
317;Asbjørn;Andersen;1903;1978;M
318;Anthony;Anderson;1970;;M
319;Blake;Anderson;1984;;M
320;Brad;Anderson;1969;;M
321;Broncho Billy;Anderson;1880;1971;M
322;Daphne;Anderson;1922;2013;F
323;Donna;Anderson;1939;;F
324;Eddie;Anderson;1905;1977;M
325;Gerald;Anderson;1989;;M
326;Gillian;Anderson;1968;;F
327;Jacob;Anderson;1990;;M
328;Jeff;Anderson;1970;;M
329;Joe;Anderson;1982;;M
330;John Murray;Anderson;1886;1954;M
331;Judith;Anderson;1897;1992;F
332;Ken;Anderson;1909;1993;M
333;Kevin;Anderson;1960;;M
334;Lindsay;Anderson;1923;1994;M
335;Lisa Arrindell;Anderson;1969;;F
336;Loni;Anderson;1946;;F
337;Mary;Anderson;1918;2014;F
338;Melissa Sue;Anderson;1962;;F
339;Melody;Anderson;1955;;F
340;Michael;Anderson;1920;;M
341;Michael (Jr.);Anderson;1943;;M
342;Miles;Anderson;1947;;M
343;Pamela;Anderson;1967;;F
344;Paul;Anderson;1965;;M
345;Paul Thomas;Anderson;1970;;M
346;Richard;Anderson;1926;2017;M
347;Stephen J.;Anderson;1968;;M
348;Wes;Anderson;1969;;M
349;Bibi;Andersson;1935;;F
350;Harriet;Andersson;1932;;F
351;Kjell-Åke;Andersson;1949;;M
352;Peter;Andersson;1953;;M
353;Roy;Andersson;1943;;M
354;Keith;Andes;1920;2005;M
355;Masanobu;Ando;1975;;M
356;Noboru;Ando;1926;2015;M
357;Sakura;Ando;1986;;F
358;Fernanda;Andrade;1984;;F
359;Osvárt;Andrea;1979;;F
360;Mario;Andreacchio;1955;;M
361;Sarik;Andreasyan;1984;;M
362;Natalya;Andrejchenko;1956;;F
363;Ursula;Andress;1936;;F
364;Anthony;Andrews;1948;;M
365;Dana;Andrews;1909;1992;M
366;Harry;Andrews;1911;1989;M
367;Julie;Andrews;1935;;F
368;Naveen;Andrews;1969;;M
369;Boris;Andreyev;1915;1982;M
370;Marayat;Andriane;1932;2005;F
371;;André;1990;;M
372;Frédéric;Andréi;1909;1989;M
373;Wood;Andrés;1965;;M
374;Joshua;Ang;1989;;M
375;Michael;Angarano;1987;;M
376;Vanessa;Angel;1966;;F
377;;Angelababy;1989;;F
378;Pier;Angeli;1932;1971;F
379;Michael;Angelis;1952;;M
380;Paul;Angelis;1943;;M
381;Theo;Angelopoulos;1935;2012;M
382;Muriel;Angelus;1912;2004;F
383;Kenneth;Anger;1927;;M
384;Luciana;Angiolillo;1925;;F
385;Ambra;Angiolini;1977;;F
386;Jean-Hugues;Anglade;1955;;M
387;Philip;Anglim;1953;;M
388;Jennifer;Aniston;1969;;F
389;;Anjali;1987;;F
390;Morris;Ankrum;1896;1964;M
391;;Ann-Margret;1941;;F
392;;Annabella;1907;1996;F
393;Ken;Annakin;1914;2009;M
394;Jean-Jacques;Annaud;1943;;M
395;Glory;Annen;1952;2017;F
396;Francesca;Annis;1945;;F
397;Hideaki;Anno;1960;;M
398;Nonso;Anozie;1979;;M
399;Michael;Ansara;1922;2013;M
400;Aziz;Ansari;1983;;M
401;Susan;Anspach;1942;;F
402;Adam;Ant;1954;;M
403;Franz;Antel;1913;2007;M
404;La La;Anthony;1979;;F
405;Lysette;Anthony;1963;;F
406;Marc;Anthony;1968;;M
407;Karl;Anton;1898;1979;M
408;Giovanna;Antonelli;1976;;F
409;Laura;Antonelli;1941;2015;F
410;Lou;Antonio;1934;;M
411;Michelangelo;Antonioni;1912;2007;M
412;Omero;Antonutti;1935;;M
413;P. J.;Antony;1925;1979;M
414;Gabrielle;Anwar;1970;;F
415;Chineze;Anyaene;1984;;F
416;Hy;Anzell;1923;2003;M
417;;Anémone;1950;;F
418;Munetaka;Aoki;1980;;M
419;Tomio;Aoki;1923;2004;M
420;Tsuru;Aoki;1892;1961;F
421;Takeshi;Aono;1936;2012;M
422;Judd;Apatow;1967;;M
423;Saiful;Apek;1969;;M
424;Oscar;Apfel;1878;1938;M
425;Jackie;Appiah;1983;;F
426;Shiri;Appleby;1978;;F
427;Christina;Applegate;1971;;F
428;Radhika;Apte;1980;;F
429;Michael;Apted;1941;;M
430;Shamim;Ara;1938;2016;F
431;Yui;Aragaki;1988;;F
432;Julian;Arahanga;1972;;M
433;Atsushi;Arai;1994;;M
434;Hirofumi;Arai;1979;;M
435;Gregg;Araki;1959;;M
436;Hugo;Arana;1943;;M
437;Vicente;Aranda;1926;2015;M
438;;Arata;1931;;M
439;Michiyo;Aratama;1930;2001;F
440;Alfonso;Arau;1932;;M
441;Sergio;Arau;1951;;M
442;G.;Aravindan;1935;1991;M
443;Taís;Araújo;1978;;M
444;Pascale;Arbillot;1970;;F
445;Roscoe;Arbuckle;1887;1933;M
446;Alexandre;Arcady;1947;;M
447;Denys;Arcand;1941;;M
448;Gabriel;Arcand;1949;;M
449;Nikolaj;Arcel;1972;;M
450;George;Archainbaud;1890;1959;M
451;;Archana;1981;;F
452;Anne;Archer;1947;;F
453;Fanny;Ardant;1949;;F
454;Eve;Arden;1908;1990;F
455;Niels;Arden Oplev;1961;;M
456;Pierre;Arditi;1944;;M
457;Emile;Ardolino;1943;1993;M
458;Carlos;Areces;1976;;M
459;Geoffrey;Arend;1978;;M
460;Niels;Arestrup;1949;;M
461;Norma;Argentina;1948;;F
462;Asia;Argento;1975;;F
463;Dario;Argento;1940;;M
464;Victor;Argo;1934;2004;M
465;Karlos;Arguiñano;1948;;M
466;Pearl;Argyle;1910;1947;F
467;Giannis;Argyris;1918;1993;M
468;Nina;Arianda;1984;;F
469;Ineko;Arima;1932;;F
470;Kasumi;Arimura;1993;;F
471;Mizuki;Arisa;1976;;F
472;Adolfo;Aristarain;1943;;M
473;Yareli;Arizmendi;1964;;F
474;Allu;Arjun;1983;;F
475;Sara;Arjun;2005;;F
476;Alan;Arkin;1934;;M
477;Allan;Arkush;1948;;M
478;Richard;Arlen;1899;1976;M
479;;Arletty;1898;1992;F
480;George;Arliss;1868;1946;M
481;Leslie;Arliss;1901;1987;M
482;Pedro;Armendariz;1912;1963;M
483;Pedro (Jr.);Armendáriz;1940;2011;M
484;Sebastian;Armesto;1982;;M
485;Fred;Armisen;1966;;M
486;George;Armitage;1942;;M
487;Richard;Armitage;1971;;M
488;Alun;Armstrong;1946;;M
489;Bess;Armstrong;1953;;F
490;Gillian;Armstrong;1950;;F
491;Kerry;Armstrong;1958;;F
492;Louis;Armstrong;1901;1971;M
493;Robert;Armstrong;1890;1973;M
494;Todd;Armstrong;1937;1992;M
495;Yvonne;Arnaud;1892;1958;F
496;James;Arness;1923;2011;M
497;Will;Arnett;1970;;M
498;Jeannetta;Arnette;1954;;F
499;Andrea;Arnold;1961;;F
500;Edward;Arnold;1890;1956;M
501;Jack;Arnold;1912;1992;M
502;Tom;Arnold;1959;;M
503;Tracy;Arnold;1962;;F
504;Charles;Arnt;1906;1990;M
505;Darren;Aronofsky;1969;;M
506;Judie;Aronson;1964;;F
507;Shashank;Arora;1989;;M
508;Olga;Aroseva;1925;2013;F
509;David;Arquette;1971;;M
510;Lewis;Arquette;1935;2001;M
511;Patricia;Arquette;1968;;F
512;Rosanna;Arquette;1959;;F
513;Guillermo;Arriaga;1958;;M
514;Jorge;Arriagada;1943;;M
515;Antonin;Artaud;1896;1948;M
516;Gemma;Arterton;1986;;F
517;Miguel;Arteta;1965;;M
518;Beatrice;Arthur;1922;2009;F
519;Jean;Arthur;1900;1991;F
520;Zackary;Arthur;2006;;M
521;;Arya;1987;;F
522;Dorothy;Arzner;1897;1979;F
523;Raúl;Arévalo;1979;;M
524;Butterfield;Asa;1997;;M
525;Reina;Asami;1983;;F
526;Tadanobu;Asano;1973;;M
527;Amma;Asante;1969;;F
528;Ruriko;Asaoka;1940;;F
529;Anthony;Asbury;1964;;M
530;Kelly;Asbury;1960;;M
531;Johan Philip;Asbæk;1982;;M
532;Ariane;Ascaride;1954;;F
533;Oscar;Asche;1871;1936;M
534;Neus;Asensi;1965;;F
535;Leslie;Ash;1960;;F
536;;Ashanti;1980;;F
537;Lorraine;Ashbourne;1961;;F
538;Hal;Ashby;1929;1988;M
539;Peggy;Ashcroft;1907;1991;F
540;Jane;Asher;1946;;F
541;Robert;Asher;1915;1979;M
542;William;Asher;1921;2012;M
543;Renée;Asherson;1915;2014;F
544;Shinsuke;Ashida;1914;1999;M
545;Toyoo;Ashida;1944;2011;M
546;Elizabeth;Ashley;1939;;F
547;John;Ashley;1934;1997;M
548;Karan;Ashley;1975;;F
549;Ray;Ashley;1911;1960;M
550;Shannon;Ashlyn;1986;;F
551;Howard;Ashman;1950;1991;M
552;Aaron;Ashmore;1979;;M
553;Shawn;Ashmore;1979;;M
554;John;Ashton;1948;;M
555;K.;Asif;1922;1971;M
556;;Asin;1985;;F
557;Perry;Askam;1898;1961;M
558;Luke;Askew;1932;2012;M
559;Aleksandr;Askoldov;1932;;M
560;Robin;Askwith;1950;;M
561;Grégoire;Aslan;1908;1982;M
562;Ed;Asner;1929;;M
563;Kumiko;Aso;1978;;F
564;Anthony;Asquith;1902;1968;M
565;Govardhan;Asrani;1941;;M
566;Roma;Asrani;1984;;F
567;Armand;Assante;1949;;M
568;Olivier;Assayas;1955;;M
569;Fred;Astaire;1899;1987;M
570;Adriana;Asti;1933;;F
571;Alexandre;Astier;1974;;M
572;John;Astin;1930;;M
573;Mackenzie;Astin;1973;;M
574;Sean;Astin;1971;;M
575;Skylar;Astin;1987;;M
576;Mary;Astor;1906;1987;F
577;Alexandre;Astruc;1923;2016;M
578;Kousuke;Atari;1980;;M
579;Roscoe;Ates;1895;1962;M
580;Shantaram Govind;Athavale;1940;1975;M
581;William;Atherton;1947;;M
582;Aure;Atika;1970;;F
583;Harvey;Atkin;1942;2017;M
584;Eileen;Atkins;1934;;F
585;Essence;Atkins;1972;;F
586;Tom;Atkins;1935;;M
587;Tommy;Atkins;1887;1968;M
588;Beverly Hope;Atkinson;1935;2001;F
589;Jayne;Atkinson;1959;;F
590;Rowan;Atkinson;1955;;M
591;;Atlee;1983;;M
592;Prahlad;Atre;1898;1969;M
593;Barry;Atsma;1972;;M
594;Abraham;Attah;2001;;M
595;Yvan;Attal;1965;;M
596;Richard;Attenborough;1923;2014;M
597;Malcolm;Atterbury;1907;1992;M
598;Antonella;Attili;1963;;F
599;Edith;Atwater;1911;1986;F
600;Hayley;Atwell;1982;;F
601;Roy;Atwell;1878;1962;M
602;Lionel;Atwill;1885;1946;M
603;Brigitte;Auber;1928;;F
604;René;Auberjonois;1940;;M
605;Stéphane;Aubier;1964;;M
606;Cécile;Aubry;1928;2010;F
607;Michel;Auclair;1922;1988;M
608;Jacques;Audiard;1952;;M
609;Eleanor;Audley;1905;1991;F
610;Maxine;Audley;1923;1992;F
611;Stéphane;Audran;1932;;F
612;Pascale;Audret;1935;2000;F
613;Mischa;Auer;1905;1967;M
614;Claudine;Auger;1941;;F
615;Bille;August;1948;;M
616;Pernilla;August;1958;;F
617;Ewa;Aulin;1950;;F
618;Marie;Ault;1870;1951;F
619;Jean-Pierre;Aumont;1909;2001;M
620;Michel;Aumont;1936;;M
621;Tina;Aumont;1946;2006;F
622;Nora;Aunor;1953;;F
623;Steve;Austin;1964;;M
624;William;Austin;1884;1975;M
625;Claude;Autant-Lara;1901;2000;M
626;Daniel;Auteuil;1950;;M
627;Paulo;Autran;1922;2007;M
628;Gene;Autry;1907;1998;M
629;Emilie;Autumn;1979;;F
630;Aram;Avakian;1926;1987;M
631;Frankie;Avalon;1940;;M
632;Roger;Avary;1965;;M
633;Serge;Avedikian;1955;;M
634;Giambattista;Avellino;1957;;M
635;Ilya;Averbakh;1934;1986;M
636;Margaret;Avery;1944;;F
637;Tex;Avery;1908;1980;M
638;Val;Avery;1924;2009;M
639;John G.;Avildsen;1935;2017;M
640;Jon;Avnet;1949;;M
641;Lavigne;Avril;1984;;F
642;Alejandro;Awada;1961;;M
643;Chikage;Awashima;1924;2012;F
644;Eddie;Axberg;1947;;M
645;Gabriel;Axel;1918;2014;M
646;Gō;Ayano;1982;;M
647;Haruka;Ayase;1985;;F
648;Nicki;Aycox;1975;;F
649;David;Ayer;1968;;M
650;Dan;Aykroyd;1952;;M
651;Reiko;Aylesworth;1972;;F
652;Felix;Aylmer;1889;1979;M
653;Richard;Ayoade;1977;;M
654;Nabil;Ayouch;1969;;M
655;Leah;Ayres;1957;;F
656;Lew;Ayres;1908;1996;M
657;Rosalind;Ayres;1946;;F
658;Rochelle;Aytes;1976;;F
659;Lubna;Azabal;1973;;F
660;Hank;Azaria;1964;;M
661;;Azeez;1947;2003;M
662;Dionísio;Azevedo;1922;1994;M
663;Shabana;Azmi;1950;;F
664;Tanvi;Azmi;1963;;F
665;Charles;Aznavour;1924;;M
666;Lisa;Azuelos;1965;;F
667;Chiyonosuke;Azuma;1926;2000;M
668;Candice;Azzara;1945;;F
669;Sabine;Azéma;1949;;F
670;Karim;Aïnouz;1966;;M
671;Jazzy;B;1975;;M
672;Mel;B;1975;;F
673;Plan;B;1983;;M
674;Heather;B.;1971;;F
675;;B. P. Paquette;1975;;M
676;Obba;Babatundé;1951;;M
677;Raj;Babbar;1952;;M
678;Héctor;Babenco;1946;2016;M
679;Parveen;Babi;1949;2005;F
680;Géla;Babluani;1979;;M
681;Boris;Babochkin;1904;1975;M
682;Jagapati;Babu;1962;;M
683;Mohan;Babu;1962;;M
684;Prasad;Babu;1950;;M
685;Raja;Babu;1937;1983;M
686;Sarath;Babu;1951;;M
687;Sobhan;Babu;1937;2008;M
688;Lauren;Bacall;1924;2014;F
689;Morena;Baccarin;1979;;F
690;Barbara;Bach;1947;;F
691;Abhishek;Bachchan;1976;;M
692;Amitabh;Bachchan;1942;;M
693;Jaya;Bachchan;1948;;F
694;Sadek;Bachchu;1955;;M
695;Andrew;Bachelor;1988;;M
696;Brian;Backer;1956;;M
697;P. A.;Backer;1940;1993;M
698;Jim;Backus;1913;1989;M
699;Richard;Backus;1945;;M
700;Don;Backy;1939;;M
701;Olga;Baclanova;1900;1974;F
702;Kevin;Bacon;1958;;M
703;Lloyd;Bacon;1889;1955;M
704;Jean-Pierre;Bacri;1951;;M
705;Michael;Badalucco;1954;;M
706;Angela;Baddeley;1904;1976;F
707;Hermione;Baddeley;1906;1986;F
708;Alan;Badel;1923;1982;M
709;;Badema;1965;;F
710;Nina;Baden-Semper;1945;;F
711;Diedrich;Bader;1966;;M
712;Clarence G.;Badger;1880;1964;M
713;Penn;Badgley;1986;;M
714;John;Badham;1939;;M
715;Mary;Badham;1952;;F
716;Affif;Badra;1960;;M
717;Erykah;Badu;1971;;F
718;Seong-woo;Bae;1972;;M
719;Soo-bin;Bae;1976;;M
720;Edouard;Baer;1966;;M
721;Harry;Baer;1947;;M
722;Parley;Baer;1914;2002;M
723;Veerle;Baetens;1978;;F
724;Joan;Baez;1941;;F
725;Ross;Bagley;1988;;M
726;Vernel;Bagneris;1949;;M
727;;Bahadoor;1930;2000;M
728;Yavor;Baharov;1985;;M
729;Mohnish;Bahl;1963;;M
730;Vikas;Bahl;1971;;M
731;Maxine;Bahns;1971;;F
732;Baihe;Bai;1984;;F
733;Ju-Gang;Bai;1993;;M
734;Pandari;Bai;1928;2003;F
735;Yang;Bai;1920;1996;F
736;Zhangyi;Bai;1963;;M
737;G.W.;Bailey;1944;;M
738;Pearl;Bailey;1918;1990;F
739;Raymond;Bailey;1904;1980;M
740;David;Bailie;1937;;M
741;Fay;Bainter;1893;1968;F
742;Scott;Baio;1960;;M
743;Diora;Baird;1983;;F
744;Stuart;Baird;1947;;M
745;Chieko;Baisho;1941;;F
746;Mitsuko;Baisho;1946;;F
747;Juanma;Bajo Ulloa;1967;;M
748;Piaa;Bajpai;1989;;F
749;Manoj;Bajpayee;1969;;M
750;Arjan;Bajwa;1979;;M
751;Ariyon;Bakare;1971;;M
752;Belle;Baker;1893;1957;F
753;Betsy;Baker;1955;;F
754;Carroll;Baker;1931;;F
755;Diane;Baker;1938;;F
756;Dylan;Baker;1959;;M
757;George;Baker;1931;2011;M
758;Hylda;Baker;1905;1986;F
759;Joe Don;Baker;1936;;M
760;Kathy;Baker;1950;;F
