DBMS,Threads,ThreadId,Queries,TotalMs,AvgMs,P95ms,P99ms,MaxMs
openGauss,32,2,200,2421.088,11.880,14.529,15.523,17.784
openGauss,32,3,200,2400.688,11.687,14.728,17.332,19.005
openGauss,32,4,200,2357.660,11.574,14.238,15.980,16.731
openGauss,32,5,200,2410.910,11.764,15.054,16.534,18.886
openGauss,32,6,200,2376.735,11.620,14.270,15.160,15.780
openGauss,32,7,200,2419.215,11.807,14.431,15.416,18.708
openGauss,32,8,200,2408.111,11.777,14.346,15.754,16.409
openGauss,32,9,200,2396.988,11.700,14.706,16.163,17.052
openGauss,32,10,200,2406.931,11.750,15.022,16.512,17.271
openGauss,32,11,200,2404.969,11.809,14.392,17.169,18.378
openGauss,32,12,200,2407.754,11.748,14.708,16.481,17.972
openGauss,32,13,200,2421.646,11.768,14.884,15.671,17.649
openGauss,32,14,200,2413.347,11.782,14.542,16.228,16.964
openGauss,32,15,200,2387.529,11.649,14.749,16.159,18.934
openGauss,32,16,200,2404.523,11.715,14.510,15.806,16.297
openGauss,32,17,200,2377.817,11.635,14.236,15.736,17.428
openGauss,32,18,200,2363.268,11.540,14.468,15.553,16.814
openGauss,32,19,200,2416.859,11.734,14.547,15.903,17.370
openGauss,32,20,200,2432.511,11.836,14.963,16.607,19.013
openGauss,32,21,200,2374.844,11.516,14.247,14.929,15.806
openGauss,32,22,200,2411.392,11.713,14.127,15.626,15.863
openGauss,32,23,200,2419.624,11.750,14.596,16.200,17.250
openGauss,32,24,200,2420.669,11.784,14.736,15.820,16.207
openGauss,32,25,200,2438.947,11.847,14.731,16.156,17.304
openGauss,32,26,200,2433.432,11.806,14.600,15.982,16.010
openGauss,32,27,200,2401.897,11.669,14.570,16.291,17.911
openGauss,32,28,200,2391.012,11.645,14.125,15.830,16.886
openGauss,32,29,200,2397.809,11.653,14.326,15.275,17.320
openGauss,32,30,200,2407.910,11.697,14.704,16.021,17.395
openGauss,32,31,200,2415.181,11.741,14.642,15.433,16.336
openGauss,32,32,200,2379.573,11.563,14.539,15.337,15.983
File,1,1,200,566.000,2.830,3.725,9.382,15.884
File,8,1,200,843.000,4.217,7.798,21.783,22.763
File,8,2,200,835.000,4.177,7.753,21.290,23.839
File,8,3,200,831.000,4.159,7.538,23.410,25.481
File,8,4,200,817.000,4.088,7.881,21.552,22.964
File,8,5,200,824.000,4.122,7.398,22.287,26.667
File,8,6,200,843.000,4.219,7.818,23.514,24.300
File,8,7,200,832.000,4.162,7.534,21.600,23.441
File,8,8,200,865.000,4.330,8.001,21.804,23.317
File,16,1,200,1147.000,5.740,7.152,7.984,8.933
File,16,2,200,1179.000,5.897,7.294,8.375,8.787
File,16,3,200,1172.000,5.865,7.122,7.941,9.095
File,16,4,200,1172.000,5.863,7.101,8.287,9.430
File,16,5,200,1141.000,5.709,7.212,8.129,9.353
File,16,6,200,1158.000,5.792,7.206,8.376,9.314
File,16,7,200,1163.000,5.820,7.195,9.327,9.594
File,16,8,200,1158.000,5.795,7.287,8.136,8.949
File,16,9,200,1167.000,5.839,7.314,7.945,9.224
File,16,10,200,1158.000,5.794,7.252,8.250,9.440
File,16,11,200,1150.000,5.752,7.103,7.626,9.300
File,16,12,200,1162.000,5.813,7.169,9.094,14.055
File,16,13,200,1159.000,5.795,7.338,8.431,10.143
File,16,14,200,1164.000,5.824,7.368,8.030,9.541
File,16,15,200,1153.000,5.765,7.081,8.006,9.080
File,16,16,200,1162.000,5.813,7.246,8.210,8.955
File,32,1,200,1996.000,9.982,11.594,15.187,100.073
File,32,2,200,2015.000,10.079,11.791,17.177,91.765
File,32,3,200,2012.000,10.063,11.683,32.628,82.732
File,32,4,200,2028.000,10.144,11.576,24.788,90.369
File,32,5,200,2031.000,10.158,11.834,17.977,93.791
File,32,6,200,2007.000,10.038,11.462,24.208,79.593
File,32,7,200,2022.000,10.111,11.895,41.207,80.069
File,32,8,200,2007.000,10.037,11.728,14.296,93.324
File,32,9,200,2022.000,10.113,11.481,14.497,94.173
File,32,10,200,2028.000,10.141,11.463,40.316,83.654
File,32,11,200,2000.000,10.004,12.200,13.965,92.134
File,32,12,200,2012.000,10.064,11.646,14.118,100.259
File,32,13,200,2025.000,10.129,11.431,19.352,98.911
File,32,14,200,2018.000,10.092,11.728,47.873,80.416
File,32,15,200,1964.000,9.823,11.305,13.566,93.218
File,32,16,200,1983.000,9.919,11.363,16.339,98.468
File,32,17,200,1974.000,9.874,11.508,13.376,94.329
File,32,18,200,1977.000,9.889,11.304,13.698,99.887
File,32,19,200,2006.000,10.030,11.626,14.494,96.996
File,32,20,200,2023.000,10.119,11.351,19.249,103.022
File,32,21,200,2011.000,10.059,11.457,14.364,100.115
File,32,22,200,2021.000,10.106,11.419,17.860,100.774
File,32,23,200,2020.000,10.102,12.011,18.631,104.979
File,32,24,200,2002.000,10.014,11.312,13.877,102.068
File,32,25,200,2010.000,10.053,11.508,17.646,103.946
File,32,26,200,1990.000,9.953,11.367,13.990,96.318
File,32,27,200,1965.000,9.826,11.098,13.972,92.573
File,32,28,200,2027.000,10.138,12.251,15.052,114.529
File,32,29,200,2014.000,10.071,11.621,15.830,90.857
File,32,30,200,2008.000,10.041,11.387,26.778,83.348
File,32,31,200,2021.000,10.105,12.304,14.558,107.514
File,32,32,200,1983.000,9.917,11.887,15.459,83.750
